time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,rain_sum,degree_days,temp_7day_avg,temp_14day_avg,degree_days_14day_sum,humidity_7day_avg,outbreak
2023-03-29,20.1,12.1,15.6,68,0.2,5.6,18.542857142857144,19.178571428571427,128.5,70.14285714285714,1
2023-03-30,22.5,11.5,16.4,72,0.0,6.399999999999999,17.54285714285714,18.471428571428568,118.6,71.14285714285714,1
2023-03-31,26.8,11.5,18.1,70,0.0,8.100000000000001,17.37142857142857,18.349999999999998,116.89999999999999,70.14285714285714,1
2023-04-01,29.8,13.2,20.7,60,0.0,10.7,17.84285714285714,18.514285714285712,119.19999999999999,65.85714285714286,1
2023-04-02,24.5,12.5,18.7,75,0.0,8.7,18.02857142857143,18.485714285714284,118.8,66.42857142857143,1
2023-04-03,21.2,14.6,17.8,79,1.4,7.800000000000001,17.82857142857143,18.49285714285714,118.89999999999999,69.85714285714286,1
2023-04-04,25.0,10.0,17.2,73,0.0,7.199999999999999,17.785714285714285,18.4,117.6,71.0,1
2023-04-05,32.7,12.4,21.7,57,0.0,11.7,18.657142857142855,18.599999999999998,120.4,69.42857142857143,1
2023-04-06,32.9,15.1,21.6,62,0.0,11.6,19.4,18.47142857142857,118.6,68.0,1
2023-04-07,19.9,15.3,17.1,86,5.0,7.100000000000001,19.25714285714286,18.314285714285713,116.4,70.28571428571429,1
2023-04-08,18.6,11.6,15.4,69,1.3,5.4,18.5,18.17142857142857,114.39999999999999,71.57142857142857,1
2023-04-09,19.6,8.1,14.0,69,0.9,4.0,17.82857142857143,17.928571428571427,111.0,70.71428571428571,0
2023-04-10,17.5,11.5,14.2,76,2.6,4.199999999999999,17.314285714285713,17.571428571428573,106.0,70.28571428571429,0
2023-04-11,20.1,9.5,14.2,70,0.0,4.199999999999999,16.885714285714283,17.335714285714285,102.7,69.85714285714286,0
2023-04-12,21.5,9.2,15.1,60,0.1,5.1,15.942857142857145,17.3,102.2,70.28571428571429,0
2023-04-13,22.5,13.0,16.6,71,2.3,6.600000000000001,15.228571428571428,17.314285714285713,102.4,71.57142857142857,0
2023-04-14,20.2,11.0,15.2,68,0.5,5.199999999999999,14.957142857142857,17.107142857142858,99.5,69.0,0
2023-04-15,24.8,8.8,15.9,61,0.0,5.9,15.028571428571428,16.764285714285716,94.7,67.85714285714286,0
2023-04-16,29.1,10.6,17.8,62,0.0,7.800000000000001,15.571428571428571,16.7,93.8,66.85714285714286,0
2023-04-17,26.7,9.9,17.9,59,0.0,7.899999999999999,16.099999999999998,16.70714285714286,93.9,64.42857142857143,0
2023-04-18,25.0,11.1,16.9,61,0.0,6.899999999999999,16.485714285714288,16.685714285714287,93.6,63.142857142857146,0
2023-04-19,25.4,12.0,18.4,54,0.0,8.399999999999999,16.957142857142856,16.45,90.3,62.285714285714285,0
2023-04-20,16.1,10.9,13.7,84,26.9,3.6999999999999993,16.54285714285714,15.885714285714286,82.39999999999999,64.14285714285714,0
2023-04-21,16.7,7.4,11.6,69,0.3,1.5999999999999996,16.02857142857143,15.492857142857142,76.89999999999999,64.28571428571429,0
2023-04-22,14.3,9.8,12.6,76,6.4,2.6,15.557142857142855,15.292857142857144,74.1,66.42857142857143,0
2023-04-23,19.0,13.7,16.0,95,22.0,6.0,15.299999999999999,15.435714285714287,76.1,71.14285714285714,0
2023-04-24,20.7,12.4,16.9,90,26.0,6.899999999999999,15.157142857142857,15.628571428571428,78.8,75.57142857142857,0
2023-04-25,21.2,11.1,15.6,76,0.0,5.6,14.971428571428572,15.728571428571428,80.19999999999999,77.71428571428571,0
2023-04-26,22.0,10.3,15.1,78,0.0,5.1,14.5,15.72857142857143,80.19999999999999,81.14285714285714,0
2023-04-27,19.5,12.0,14.6,87,17.5,4.6,14.62857142857143,15.585714285714285,78.2,81.57142857142857,0
2023-04-28,19.2,12.0,14.6,79,1.3,4.6,15.057142857142855,15.542857142857143,77.6,83.0,0
2023-04-29,18.5,12.5,14.8,74,0.5,4.800000000000001,15.37142857142857,15.464285714285714,76.49999999999999,82.71428571428571,0
2023-04-30,22.2,10.0,14.9,75,0.0,4.9,15.214285714285714,15.257142857142854,73.6,79.85714285714286,0
2023-05-01,19.9,8.0,13.7,79,0.0,3.6999999999999993,14.757142857142856,14.957142857142857,69.39999999999999,78.28571428571429,0
2023-05-02,20.6,10.7,14.8,85,0.0,4.800000000000001,14.642857142857142,14.807142857142855,67.3,79.57142857142857,0
2023-05-03,21.3,10.6,14.4,87,0.0,4.4,14.542857142857144,14.52142857142857,63.3,80.85714285714286,0
2023-05-04,20.5,9.8,14.1,85,0.0,4.1,14.471428571428572,14.549999999999999,63.699999999999996,80.57142857142857,0
2023-05-05,21.6,8.7,13.9,83,0.0,3.9,14.37142857142857,14.714285714285714,66.0,81.14285714285714,0
2023-05-06,20.2,9.2,14.4,84,0.5,4.4,14.314285714285715,14.842857142857142,67.8,82.57142857142857,0
2023-05-07,21.6,11.8,15.8,83,0.0,5.800000000000001,14.442857142857141,14.828571428571431,67.6,83.71428571428571,0
2023-05-08,20.7,10.7,14.8,78,0.0,4.800000000000001,14.6,14.678571428571429,65.5,83.57142857142857,0
2023-05-09,22.9,8.5,14.4,82,0.0,4.4,14.542857142857143,14.592857142857143,64.3,83.14285714285714,0
2023-05-10,25.6,9.7,17.8,61,0.0,7.800000000000001,15.02857142857143,14.785714285714286,67.0,79.42857142857143,0
2023-05-11,15.1,11.1,13.2,88,4.1,3.1999999999999997,14.9,14.685714285714285,65.60000000000001,79.85714285714286,0
2023-05-12,15.8,10.1,12.4,67,0.0,2.4000000000000004,14.685714285714287,14.528571428571428,63.400000000000006,77.57142857142857,0
2023-05-13,16.5,11.5,13.7,66,0.0,3.6999999999999993,14.585714285714287,14.45,62.300000000000004,75.0,0
2023-05-14,19.1,10.0,14.5,66,0.0,4.5,14.400000000000002,14.421428571428573,61.900000000000006,72.57142857142857,0
2023-05-15,22.1,8.4,13.8,66,0.0,3.8000000000000007,14.257142857142856,14.428571428571429,62.0,70.85714285714286,0
2023-05-16,19.4,8.4,12.7,78,0.0,2.6999999999999997,14.014285714285716,14.278571428571428,59.900000000000006,70.28571428571429,0
2023-05-17,17.2,8.0,12.8,87,5.0,2.8000000000000007,13.3,14.164285714285715,58.300000000000004,74.0,0
2023-05-18,18.1,7.8,12.1,78,0.0,2.1,13.142857142857142,14.021428571428572,56.300000000000004,72.57142857142857,0
2023-05-19,17.1,6.0,11.1,75,0.8,1.0999999999999996,12.957142857142857,13.821428571428571,53.50000000000001,73.71428571428571,0
2023-05-20,18.7,9.6,13.0,76,0.0,3.0,12.857142857142858,13.721428571428572,52.10000000000001,75.14285714285714,0
2023-05-21,18.1,11.1,13.9,79,8.8,3.9,12.77142857142857,13.585714285714285,50.2,77.0,0
2023-05-22,20.6,7.2,13.7,70,0.0,3.6999999999999993,12.757142857142856,13.507142857142858,49.1,77.57142857142857,0
2023-05-23,18.7,9.5,14.2,71,0.0,4.199999999999999,12.971428571428572,13.492857142857144,48.9,76.57142857142857,0
2023-05-24,19.2,10.4,14.0,78,0.0,4.0,13.142857142857142,13.221428571428572,45.1,75.28571428571429,0
2023-05-25,13.4,8.6,11.2,97,58.5,1.1999999999999993,13.014285714285714,13.078571428571427,43.099999999999994,78.0,0
2023-05-26,14.5,8.3,10.7,86,3.0,0.6999999999999993,12.957142857142856,12.957142857142857,41.4,79.57142857142857,0
2023-05-27,17.3,8.7,11.4,67,0.0,1.4000000000000004,12.728571428571428,12.792857142857143,39.099999999999994,78.28571428571429,0
2023-05-28,17.8,7.5,12.6,68,0.0,2.6,12.542857142857143,12.657142857142858,37.199999999999996,76.71428571428571,0
2023-05-29,17.2,10.6,14.5,80,8.4,4.5,12.657142857142857,12.707142857142857,37.9,78.14285714285714,0
2023-05-30,14.2,11.2,12.3,93,6.6,2.3000000000000007,12.385714285714284,12.678571428571429,37.49999999999999,81.28571428571429,0
2023-05-31,19.1,11.1,14.0,93,5.4,4.0,12.385714285714284,12.764285714285714,38.699999999999996,83.42857142857143,0
2023-06-01,19.0,11.1,14.0,92,0.0,4.0,12.785714285714286,12.9,40.599999999999994,82.71428571428571,0
2023-06-02,18.4,11.1,14.7,75,1.6,4.699999999999999,13.357142857142858,13.157142857142858,44.199999999999996,81.14285714285714,0
2023-06-03,14.0,10.0,12.5,90,22.9,2.5,13.514285714285714,13.121428571428572,43.699999999999996,84.42857142857143,0
2023-06-04,13.8,7.9,10.4,92,17.4,0.4000000000000003,13.200000000000001,12.87142857142857,40.199999999999996,87.85714285714286,0
2023-06-05,13.5,6.4,9.8,82,0.1,0.0,12.528571428571428,12.592857142857143,36.5,88.14285714285714,0
2023-06-06,17.7,4.2,11.7,63,0.0,1.6999999999999993,12.442857142857145,12.414285714285713,34.0,83.85714285714286,0
2023-06-07,12.7,7.7,10.9,84,6.1,0.9000000000000004,12.0,12.192857142857141,30.9,82.57142857142857,0
2023-06-08,15.6,12.3,13.8,99,22.8,3.8000000000000007,11.971428571428572,12.37857142857143,33.5,83.57142857142857,0
2023-06-09,16.4,12.2,13.6,94,5.9,3.6,11.814285714285715,12.585714285714285,36.4,86.28571428571429,0
2023-06-10,17.8,10.3,12.9,88,0.0,2.9000000000000004,11.871428571428572,12.692857142857145,37.9,86.0,0
2023-06-11,15.7,9.8,12.1,91,6.3,2.1,12.114285714285714,12.657142857142857,37.4,85.85714285714286,0
2023-06-12,14.9,10.5,12.2,88,12.7,2.1999999999999997,12.457142857142857,12.492857142857142,35.1,86.71428571428571,0
2023-06-13,14.8,11.6,13.2,97,27.1,3.1999999999999997,12.671428571428573,12.557142857142859,36.0,91.57142857142857,0
2023-06-14,14.1,10.6,12.8,95,40.6,2.8000000000000007,12.942857142857145,12.471428571428572,34.800000000000004,93.14285714285714,0
2023-06-15,16.7,9.0,13.0,89,29.4,3.0,12.828571428571427,12.4,33.800000000000004,91.71428571428571,0
2023-06-16,15.8,10.6,12.9,84,1.0,2.9000000000000004,12.728571428571428,12.27142857142857,32.0,90.28571428571429,0
2023-06-17,14.1,9.6,12.9,94,46.0,2.9000000000000004,12.728571428571428,12.299999999999999,32.4,91.14285714285714,0
2023-06-18,14.3,9.5,11.5,88,6.4,1.5,12.642857142857142,12.37857142857143,33.5,90.71428571428571,0
2023-06-19,13.5,8.2,10.9,85,31.4,0.9000000000000004,12.457142857142857,12.457142857142857,34.400000000000006,90.28571428571429,0
2023-06-20,13.2,6.2,9.3,85,1.0,0.0,11.9,12.285714285714286,32.7,88.57142857142857,0
2023-06-21,13.9,8.6,11.0,83,1.8,1.0,11.642857142857142,12.292857142857144,32.8,86.85714285714286,0
2023-06-22,20.3,7.7,13.1,85,0.0,3.1,11.657142857142857,12.242857142857144,32.1,86.28571428571429,0
2023-06-23,18.5,12.9,14.6,71,1.7,4.6,11.9,12.314285714285715,33.1,84.42857142857143,0
2023-06-24,17.4,11.4,14.1,87,0.0,4.1,12.071428571428571,12.4,34.3,83.42857142857143,0
2023-06-25,16.9,11.7,13.8,78,0.0,3.8000000000000007,12.4,12.521428571428572,36.0,82.0,0
2023-06-26,18.2,12.5,14.3,73,1.2,4.300000000000001,12.885714285714286,12.671428571428573,38.1,80.28571428571429,0
2023-06-27,14.7,11.1,13.3,86,7.2,3.3000000000000007,13.457142857142857,12.678571428571429,38.2,80.42857142857143,0
2023-06-28,15.5,6.4,11.0,86,0.6,1.0,13.457142857142857,12.55,36.400000000000006,80.85714285714286,0
2023-06-29,13.6,10.6,12.1,97,11.4,2.1,13.314285714285715,12.485714285714286,35.50000000000001,82.57142857142857,0
2023-06-30,15.6,10.8,12.5,89,2.5,2.5,13.014285714285714,12.457142857142857,35.10000000000001,85.14285714285714,0
2023-07-01,17.9,9.3,13.1,76,0.0,3.1,12.871428571428572,12.471428571428572,35.3,83.57142857142857,0
2023-07-02,18.7,7.8,12.3,83,0.0,2.3000000000000007,12.657142857142858,12.528571428571428,36.1,84.28571428571429,0
2023-07-03,18.7,8.7,12.6,71,0.0,2.6,12.414285714285713,12.65,37.800000000000004,84.0,0
2023-07-04,17.0,6.7,11.4,81,0.0,1.4000000000000004,12.142857142857142,12.8,39.2,83.28571428571429,0
2023-07-05,18.0,4.6,10.3,70,0.0,0.3000000000000007,12.042857142857143,12.75,38.5,81.0,0
2023-07-06,23.7,6.1,16.6,47,0.0,6.600000000000001,12.685714285714287,13.0,42.0,73.85714285714286,0
2023-07-07,15.4,11.0,13.2,85,10.4,3.1999999999999997,12.785714285714286,12.9,40.60000000000001,73.28571428571429,0
2023-07-08,12.0,6.6,9.6,89,29.5,0.0,12.285714285714286,12.578571428571427,36.50000000000001,75.14285714285714,0
2023-07-09,13.8,3.7,8.5,88,3.1,0.0,11.742857142857144,12.2,32.7,75.85714285714286,0
2023-07-10,15.1,1.2,7.0,84,0.0,0.0,10.942857142857145,11.678571428571429,28.400000000000006,77.71428571428571,0
2023-07-11,16.9,2.6,8.3,84,0.0,0.0,10.5,11.321428571428571,25.1,78.14285714285714,0
2023-07-12,21.1,5.2,12.2,63,0.0,2.1999999999999997,10.771428571428572,11.407142857142857,26.3,77.14285714285714,0
2023-07-13,24.5,4.3,13.0,62,0.0,3.0,10.257142857142856,11.471428571428572,27.200000000000003,79.28571428571429,0
2023-07-14,22.7,12.0,17.6,48,0.0,7.600000000000001,10.885714285714284,11.835714285714285,32.300000000000004,74.0,0
2023-07-15,16.4,9.6,12.7,78,0.7,2.6999999999999997,11.328571428571427,11.807142857142859,31.900000000000002,72.42857142857143,0
2023-07-16,16.5,10.9,13.4,91,3.1,3.4000000000000004,12.028571428571428,11.885714285714286,33.0,72.85714285714286,0
2023-07-17,19.0,10.0,14.0,85,0.0,4.0,13.028571428571428,11.985714285714286,34.400000000000006,73.0,0
2023-07-18,14.5,8.7,11.7,96,15.1,1.6999999999999993,13.514285714285716,12.007142857142856,34.7,74.71428571428571,0
2023-07-19,13.3,5.0,9.1,77,0.3,0.0,13.071428571428571,11.921428571428569,34.400000000000006,76.71428571428571,0
2023-07-20,15.9,0.9,7.8,77,0.0,0.0,12.328571428571427,11.292857142857143,27.8,78.85714285714286,0
2023-07-21,16.7,1.2,9.1,66,0.0,0.0,11.114285714285712,11.0,24.6,81.42857142857143,0
2023-07-22,15.5,5.9,10.6,63,1.1,0.5999999999999996,10.814285714285715,11.071428571428571,25.200000000000003,79.28571428571429,0
2023-07-23,13.9,6.6,10.2,85,1.0,0.1999999999999993,10.357142857142858,11.192857142857145,25.4,78.42857142857143,0
2023-07-24,14.4,4.0,8.7,75,0.0,0.0,9.599999999999998,11.314285714285715,25.4,77.0,0
2023-07-25,18.3,0.9,8.3,80,0.0,0.0,9.114285714285714,11.314285714285715,25.4,74.71428571428571,0
2023-07-26,15.3,5.5,11.3,72,0.5,1.3000000000000007,9.428571428571429,11.25,24.5,74.0,0
2023-07-27,15.5,8.5,11.2,84,0.1,1.1999999999999993,9.914285714285715,11.121428571428572,22.700000000000003,75.0,0
2023-07-28,14.8,6.9,10.5,85,13.5,0.5,10.114285714285714,10.614285714285716,15.6,77.71428571428571,0
2023-07-29,11.5,8.0,9.5,91,11.9,0.0,9.957142857142857,10.385714285714286,12.899999999999999,81.71428571428571,0
2023-07-30,12.0,5.7,8.9,86,10.3,0.0,9.771428571428572,10.064285714285713,9.499999999999998,81.85714285714286,0
2023-07-31,13.5,5.4,9.8,84,2.5,0.0,9.928571428571429,9.764285714285714,5.499999999999998,83.14285714285714,0
2023-08-01,16.3,1.7,7.9,85,0.0,0.0,9.871428571428572,9.492857142857144,3.7999999999999994,83.85714285714286,0
2023-08-02,21.6,1.4,10.1,76,0.0,0.0999999999999996,9.700000000000001,9.564285714285715,3.899999999999999,84.42857142857143,0
2023-08-03,26.4,8.1,19.5,39,0.0,9.5,10.885714285714286,10.4,13.399999999999999,78.0,0
2023-08-04,19.2,10.8,15.0,69,0.0,5.0,11.528571428571428,10.821428571428571,18.4,75.71428571428571,0
2023-08-05,18.4,7.0,11.8,84,0.0,1.8000000000000007,11.857142857142858,10.907142857142858,19.599999999999998,74.71428571428571,0
2023-08-06,16.8,7.3,11.8,83,0.0,1.8000000000000007,12.271428571428572,11.02142857142857,21.2,74.28571428571429,0
2023-08-07,19.7,6.0,12.0,82,0.0,2.0,12.585714285714285,11.257142857142856,23.200000000000003,74.0,0
2023-08-08,17.6,7.9,13.0,79,0.2,3.0,13.314285714285713,11.592857142857142,26.200000000000003,73.14285714285714,0
2023-08-09,21.8,7.4,13.3,82,0.0,3.3000000000000007,13.771428571428572,11.735714285714286,28.2,74.0,0
2023-08-10,26.4,8.6,17.1,60,0.0,7.100000000000001,13.428571428571429,12.157142857142857,34.1,77.0,0
2023-08-11,24.1,12.9,17.9,57,0.0,7.899999999999999,13.842857142857143,12.685714285714285,41.5,75.28571428571429,0
2023-08-12,16.3,10.4,12.5,87,0.9,2.5,13.942857142857145,12.9,44.0,75.71428571428571,0
2023-08-13,16.5,9.5,12.0,79,0.1,2.0,13.971428571428573,13.121428571428572,46.0,75.14285714285714,0
2023-08-14,13.5,6.6,9.9,74,0.1,0.0,13.671428571428573,13.12857142857143,46.0,74.0,0
2023-08-15,19.0,3.7,11.5,69,0.0,1.5,13.457142857142856,13.385714285714286,47.5,72.57142857142857,0
2023-08-16,18.2,9.6,13.6,69,0.4,3.6,13.5,13.635714285714286,51.00000000000001,70.71428571428571,0
2023-08-17,15.4,9.8,11.4,92,40.8,1.4000000000000004,12.685714285714285,13.057142857142859,42.9,75.28571428571429,0
2023-08-18,15.7,9.7,12.0,89,6.9,2.0,11.842857142857142,12.842857142857143,39.900000000000006,79.85714285714286,0
2023-08-19,18.3,6.2,11.9,84,0.3,1.9000000000000004,11.757142857142856,12.849999999999998,40.0,79.42857142857143,0
2023-08-20,16.5,9.8,12.1,83,0.6,2.1,11.77142857142857,12.871428571428572,40.300000000000004,80.0,0
