time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1940-05-29,13.9,90.0,0.69,14.8,0.099,0.0
1940-05-30,14.4,87.0,0.61,14.4,0.096,0.2
1940-05-31,14.7,78.0,0.94,14.8,0.094,0.0
1940-06-01,13.9,83.0,0.62,14.2,0.094,0.6
1940-06-02,12.7,86.0,0.52,12.9,0.096,0.8
1940-06-03,12.5,87.0,0.55,13.2,0.098,0.6
1940-06-04,12.0,83.0,0.82,12.9,0.096,0.0
1940-06-05,13.0,80.0,0.7,13.1,0.093,0.0
1940-06-06,13.7,73.0,1.38,13.3,0.089,0.0
1940-06-07,14.0,80.0,0.67,13.5,0.087,0.4
1940-06-08,12.7,83.0,0.77,13.7,0.087,0.0
1940-06-09,12.8,86.0,0.72,12.9,0.085,0.2
1940-06-10,14.2,87.0,0.36,14.3,0.122,20.6
1940-06-11,12.9,78.0,0.64,13.5,0.209,4.7
1940-06-12,13.4,79.0,0.51,13.6,0.182,2.4
1940-06-13,12.9,91.0,0.18,13.6,0.219,14.3
1940-06-14,13.1,74.0,0.8,13.4,0.21,1.8
1940-06-15,12.0,83.0,0.38,12.8,0.197,2.6
1940-06-16,10.9,89.0,0.22,12.2,0.207,5.5
1940-06-17,11.9,87.0,0.28,11.6,0.252,36.5
1940-06-18,13.4,85.0,0.33,12.9,0.244,3.3
1940-06-19,13.1,87.0,0.54,13.2,0.218,0.0
1940-06-20,11.5,91.0,0.39,12.6,0.203,0.1
1940-06-21,12.0,72.0,0.67,12.8,0.215,5.0
1940-06-22,11.6,72.0,0.69,11.8,0.197,0.0
1940-06-23,9.6,90.0,0.47,11.1,0.187,0.0
1940-06-24,10.7,93.0,0.34,10.8,0.181,0.0
1940-06-25,10.0,92.0,0.3,11.4,0.176,0.0
1940-06-26,11.3,89.0,0.27,11.6,0.202,7.9
1940-06-27,10.6,83.0,0.78,11.6,0.202,0.0
1940-06-28,11.1,82.0,0.78,11.1,0.186,0.0
1940-06-29,12.6,83.0,0.81,12.3,0.178,2.2
1940-06-30,12.1,85.0,0.42,12.7,0.235,15.2
1940-07-01,11.1,73.0,0.62,11.7,0.244,9.1
1940-07-02,12.0,75.0,0.55,11.9,0.219,1.2
1940-07-03,10.9,88.0,0.53,11.9,0.206,0.0
1940-07-04,10.2,83.0,0.54,11.2,0.196,0.0
