event_date,temp_14d_mean,temp_30d_mean,humidity_14d_mean,vpd_14d_max,soil_temp_14d_mean,soil_moisture_14d_mean,degree_days_30d_sum,rain_14d_sum,outbreak
2023-12-18 00:00:00,9.700000000000001,9.78,67.5,2.38,10.85714285714286,0.12214285714285715,17.5,13.0,0
1974-01-19 00:00:00,9.6,8.633333333333333,85.57142857142857,1.33,9.328571428571427,0.39299999999999996,22.6,93.4,0
1975-02-11 00:00:00,8.957142857142857,8.59,79.07142857142857,0.95,9.178571428571429,0.34935714285714287,6.499999999999998,88.6,0
1992-12-18 00:00:00,7.971428571428571,8.993333333333334,79.78571428571429,0.85,8.921428571428569,0.3355714285714286,10.6,71.5,0
2013-01-04 00:00:00,6.6,7.47,80.92857142857143,0.78,7.164285714285713,0.37014285714285716,5.1,54.3,0
1970-12-06 00:00:00,10.97857142857143,12.226666666666667,77.64285714285714,1.24,11.742857142857144,0.3114285714285714,70.69999999999999,90.5,0
1998-02-11 00:00:00,9.635714285714286,9.886666666666665,83.85714285714286,1.06,9.914285714285715,0.4001428571428572,20.2,146.79999999999998,0
1992-02-12 00:00:00,10.87857142857143,9.03,78.5,1.52,10.95,0.2815,15.8,52.5,0
1999-12-20 00:00:00,8.078571428571427,9.23,71.35714285714286,1.18,8.842857142857143,0.1732142857142857,12.4,2.1,0
1986-02-21 00:00:00,10.95,10.639999999999997,82.07142857142857,0.98,10.971428571428573,0.39028571428571424,42.099999999999994,218.1,0
1974-01-31 00:00:00,8.45,8.086666666666668,81.14285714285714,0.85,8.992857142857142,0.34914285714285714,17.1,9.8,0
2020-01-03 00:00:00,8.264285714285714,9.25,77.42857142857143,1.33,9.307142857142855,0.2841428571428571,17.299999999999997,12.499999999999998,0
2019-02-22 00:00:00,6.7357142857142875,8.013333333333332,75.92857142857143,0.83,8.37857142857143,0.3900714285714285,17.400000000000002,67.00000000000001,0
2009-02-11 00:00:00,9.571428571428573,9.819999999999999,75.71428571428571,1.72,10.042857142857143,0.3112142857142857,20.3,35.8,0
1995-01-23 00:00:00,9.635714285714286,8.919999999999998,84.92857142857143,0.82,10.078571428571427,0.3995714285714286,19.2,126.29999999999998,0
2004-02-01 00:00:00,7.685714285714284,8.073333333333332,81.64285714285714,0.8,8.5,0.29121428571428576,4.099999999999998,10.0,0
1972-01-21 00:00:00,5.628571428571428,5.796666666666667,87.35714285714286,0.83,6.278571428571429,0.27792857142857147,3.5,0.1,0
2024-01-03 00:00:00,10.121428571428572,10.169999999999998,85.78571428571429,0.96,11.47142857142857,0.33171428571428574,27.200000000000003,35.1,0
2004-02-06 00:00:00,7.892857142857143,8.37,80.0,1.0,8.542857142857143,0.3138571428571429,3.8999999999999986,26.6,0
2020-12-27 00:00:00,7.185714285714286,8.356666666666667,80.71428571428571,1.2,8.492857142857144,0.23121428571428573,3.0999999999999996,3.0,0
